	input	filtered	denoisedF	nonchim
SRR19937609	101505	81760	80521	68763
SRR19937610	82929	71168	70393	63352
SRR19937611	77867	60023	59012	40203
SRR19937612	111584	29216	29053	28835
SRR19937613	86363	68604	67936	29017
SRR19937614	52587	45674	45031	37608
SRR19937615	97701	86111	85116	58155
SRR19937616	68349	55426	54679	44910
SRR19937617	81370	29692	29543	27836
SRR19937618	51285	21773	21599	20934
SRR19937619	35925	28048	27697	24381
SRR19937620	50778	44421	43914	42425
SRR19937621	108905	82772	81721	65286
SRR19937622	68596	52643	52308	47939
SRR19937623	47963	41317	40895	36457
SRR19937624	122676	100925	99605	62967
SRR19937625	167798	147051	145483	102606
SRR19937626	76565	61485	61076	38525
SRR19937627	48869	42765	42281	29220
SRR19937628	126062	107753	106096	88253
SRR19937629	165793	142275	140835	104584
SRR19937630	43947	25081	24839	24042
SRR19937631	62570	22457	22338	20412
SRR19937632	34289	26939	26521	21676
SRR19937633	56750	12614	12406	11771
SRR19937634	46736	12098	11945	11263
SRR19937635	71360	62261	61603	56230
SRR19937636	86089	67505	66361	53009
SRR19937637	126543	100864	99792	67303
SRR19937638	72764	26589	26183	24560
SRR19937639	78271	19048	18970	17702
SRR19937640	64452	51516	50786	45804
SRR19937641	63968	56138	55429	44436
SRR19937642	16183	5618	5363	4892
SRR19937643	51679	44842	44082	42423
SRR19937644	148277	69362	69240	61108
SRR19937645	4673	3624	3595	3595
SRR19937646	68052	30817	30678	29046
SRR19937647	60372	49955	49422	40252
SRR19937648	96485	31422	31242	30954
SRR19937649	48785	32216	31712	27774
SRR19937650	59919	20442	20044	18377
SRR19937651	83589	67459	66526	59131
SRR19937652	77830	51691	51032	47275
SRR19937653	96600	81615	80537	44304
SRR19937654	54875	34691	34473	31281
SRR19937655	64696	39978	39655	38124
SRR19937656	68622	25026	24839	23866
SRR19937657	56683	34971	34625	32456
SRR19937658	74194	24295	24121	22591
SRR19937659	52219	15974	15774	14499
SRR19937660	64598	40199	39658	38844
SRR19937661	64005	44238	43571	39036
SRR19937662	63316	41775	41121	34717
SRR19937663	66857	43643	43086	38506
SRR19937664	67982	43572	43254	41343
SRR19937665	43068	21978	21873	20152
SRR19937666	60906	39328	38932	37933
SRR19937667	88015	56211	55394	46335
SRR19937668	72207	32723	32388	32016
SRR19937669	57609	36201	35805	34833
SRR19937670	50653	20484	20177	19155
SRR19937671	57808	36256	35906	32981
SRR19937672	67703	28870	28660	27853
SRR19937673	76392	25569	25429	24563
SRR19937674	65574	42242	41634	34995
SRR19937675	58825	37436	37086	32762
SRR19937676	51231	25112	24905	24417
SRR19937677	46267	20002	19859	19484
SRR19937678	56727	37344	36964	36308
SRR19937679	67225	43113	42607	39539
SRR19937680	63727	41509	41201	38151
SRR19937681	66001	20993	20702	19778
SRR19937682	77784	51056	50440	47550
SRR19937683	68670	50494	49897	47150
SRR19937684	56488	39006	38815	30503
SRR19937685	87170	45611	45426	41885
SRR19937686	95760	77097	76367	66578
SRR19937687	71190	52232	51397	37069
SRR19937688	83199	17795	17570	16506
SRR19937689	63782	51648	51091	40701
SRR19937690	94534	71449	70482	49690
SRR19937691	81623	42664	42546	39472
SRR19937692	60589	30480	30395	29485
SRR19937693	176532	153821	152316	101168
SRR19937694	115592	87368	85771	70591
SRR19937695	76414	60837	60084	53609
