	reads.in	reads.out
SRR19937590.fastq.gz	90498	72924
SRR19937591.fastq.gz	115001	94012
SRR19937592.fastq.gz	75381	60324
SRR19937593.fastq.gz	81184	66570
SRR19937594.fastq.gz	86025	68304
SRR19937595.fastq.gz	72064	57733
SRR19937596.fastq.gz	66413	33840
SRR19937597.fastq.gz	99371	79515
SRR19937598.fastq.gz	72497	59036
SRR19937599.fastq.gz	139054	117601
SRR19937600.fastq.gz	130401	78327
SRR19937601.fastq.gz	97782	55727
SRR19937602.fastq.gz	106131	86839
SRR19937603.fastq.gz	80792	65962
SRR19937604.fastq.gz	97466	56755
SRR19937605.fastq.gz	83572	69189
SRR19937606.fastq.gz	112112	91627
SRR19937607.fastq.gz	99219	83553
SRR19937608.fastq.gz	78807	60002
SRR19937609.fastq.gz	101505	81760
SRR19937610.fastq.gz	82929	71168
SRR19937611.fastq.gz	77867	60023
SRR19937612.fastq.gz	111584	29216
SRR19937613.fastq.gz	86363	68604
SRR19937614.fastq.gz	52587	45674
SRR19937615.fastq.gz	97701	86111
SRR19937616.fastq.gz	68349	55426
SRR19937617.fastq.gz	81370	29692
SRR19937618.fastq.gz	51285	21773
SRR19937619.fastq.gz	35925	28048
SRR19937620.fastq.gz	50778	44421
SRR19937621.fastq.gz	108905	82772
SRR19937622.fastq.gz	68596	52643
SRR19937623.fastq.gz	47963	41317
SRR19937624.fastq.gz	122676	100925
SRR19937625.fastq.gz	167798	147051
SRR19937626.fastq.gz	76565	61485
SRR19937627.fastq.gz	48869	42765
SRR19937628.fastq.gz	126062	107753
SRR19937629.fastq.gz	165793	142275
SRR19937630.fastq.gz	43947	25081
SRR19937631.fastq.gz	62570	22457
SRR19937632.fastq.gz	34289	26939
SRR19937633.fastq.gz	56750	12614
SRR19937634.fastq.gz	46736	12098
SRR19937635.fastq.gz	71360	62261
SRR19937636.fastq.gz	86089	67505
SRR19937637.fastq.gz	126543	100864
SRR19937638.fastq.gz	72764	26589
SRR19937639.fastq.gz	78271	19048
SRR19937640.fastq.gz	64452	51516
SRR19937641.fastq.gz	63968	56138
SRR19937642.fastq.gz	16183	5618
SRR19937643.fastq.gz	51679	44842
SRR19937644.fastq.gz	148277	69362
SRR19937645.fastq.gz	4673	3624
SRR19937646.fastq.gz	68052	30817
SRR19937647.fastq.gz	60372	49955
SRR19937648.fastq.gz	96485	31422
SRR19937649.fastq.gz	48785	32216
SRR19937650.fastq.gz	59919	20442
SRR19937651.fastq.gz	83589	67459
SRR19937652.fastq.gz	77830	51691
SRR19937653.fastq.gz	96600	81615
SRR19937654.fastq.gz	54875	34691
SRR19937655.fastq.gz	64696	39978
SRR19937656.fastq.gz	68622	25026
SRR19937657.fastq.gz	56683	34971
SRR19937658.fastq.gz	74194	24295
SRR19937659.fastq.gz	52219	15974
SRR19937660.fastq.gz	64598	40199
SRR19937661.fastq.gz	64005	44238
SRR19937662.fastq.gz	63316	41775
SRR19937663.fastq.gz	66857	43643
SRR19937664.fastq.gz	67982	43572
SRR19937665.fastq.gz	43068	21978
SRR19937666.fastq.gz	60906	39328
SRR19937667.fastq.gz	88015	56211
SRR19937668.fastq.gz	72207	32723
SRR19937669.fastq.gz	57609	36201
SRR19937670.fastq.gz	50653	20484
SRR19937671.fastq.gz	57808	36256
SRR19937672.fastq.gz	67703	28870
SRR19937673.fastq.gz	76392	25569
SRR19937674.fastq.gz	65574	42242
SRR19937675.fastq.gz	58825	37436
SRR19937676.fastq.gz	51231	25112
SRR19937677.fastq.gz	46267	20002
SRR19937678.fastq.gz	56727	37344
SRR19937679.fastq.gz	67225	43113
SRR19937680.fastq.gz	63727	41509
SRR19937681.fastq.gz	66001	20993
SRR19937682.fastq.gz	77784	51056
SRR19937683.fastq.gz	68670	50494
SRR19937684.fastq.gz	56488	39006
SRR19937685.fastq.gz	87170	45611
SRR19937686.fastq.gz	95760	77097
SRR19937687.fastq.gz	71190	52232
SRR19937688.fastq.gz	83199	17795
SRR19937689.fastq.gz	63782	51648
SRR19937690.fastq.gz	94534	71449
SRR19937691.fastq.gz	81623	42664
SRR19937692.fastq.gz	60589	30480
SRR19937693.fastq.gz	176532	153821
SRR19937694.fastq.gz	115592	87368
SRR19937695.fastq.gz	76414	60837
SRR19937696.fastq.gz	98505	76518
SRR19937697.fastq.gz	82805	64285
SRR19937698.fastq.gz	65641	52110
SRR19937699.fastq.gz	66303	53480
SRR19937700.fastq.gz	92383	70732
SRR19937701.fastq.gz	104654	84549
SRR19937702.fastq.gz	60205	48624
SRR19937703.fastq.gz	81570	61680
SRR19937704.fastq.gz	115869	72536
SRR19937705.fastq.gz	87924	71989
SRR19937706.fastq.gz	77826	43142
SRR19937707.fastq.gz	99879	77429
SRR19937708.fastq.gz	75687	59809
SRR19937709.fastq.gz	74108	54406
SRR19937710.fastq.gz	112407	80593
SRR19937711.fastq.gz	86347	64846
SRR19937712.fastq.gz	64263	30876
SRR19937713.fastq.gz	90355	69624
SRR19937714.fastq.gz	7954	6313
SRR19937715.fastq.gz	67750	52861
SRR19937716.fastq.gz	138062	56833
SRR19937717.fastq.gz	95274	75119
SRR19937718.fastq.gz	84831	63791
SRR19937719.fastq.gz	73843	38506
