ASV_ID	ERR3610705	ERR3610706	ERR3610707	ERR3610708	ERR3610709	ERR3610710	ERR3610711	ERR3610712	ERR3610713	ERR3610714	ERR3610715	ERR3610716	ERR3610717	ERR3610718	ERR3610719	ERR3610720	ERR3610721	ERR3610722	ERR3610723	ERR3610724	ERR3610725	ERR3610726	ERR3610727	ERR3610728	ERR3610729	ERR3610730	ERR3610731	ERR3610732	ERR3610733	ERR3610734	ERR3610735	ERR3610736	ERR3610737	ERR3610738	ERR3610739	ERR3610740	ERR3610741	ERR3610742	ERR3610743	ERR3610744	ERR3610745	ERR3610746	ERR3610747	ERR3610748	ERR3610749	ERR3610750	ERR3610751	ERR3610752	ERR3610753	ERR3610754
ASV_83	0	270	296	151	492	269	0	154	0	560	25	0	29	214	1214	63	5	57	31	0	105	92	0	321	541	0	0	30	713	215	0	308	76	122	180	242	23	118	35	26	12	13	10	84	0	31	0	0	6	308
ASV_84	465	0	46	0	207	0	83	400	19	0	0	44	89	19	87	0	778	0	58	778	185	0	189	0	328	388	321	0	0	13	0	59	636	0	391	453	0	82	0	0	117	30	0	0	201	454	0	156	292	41
ASV_85	0	0	361	816	305	138	246	0	228	541	512	30	0	75	0	77	0	37	0	191	61	89	72	309	143	235	123	81	0	0	91	140	311	67	141	0	0	0	0	143	49	35	0	1099	510	0	0	0	40	41
ASV_86	314	707	102	0	0	88	52	0	266	40	0	0	263	255	0	48	0	92	0	0	0	0	81	0	63	0	90	139	0	68	385	2173	0	0	287	0	0	0	114	59	0	0	0	183	1123	31	61	0	73	0
ASV_87	0	0	356	781	324	128	236	0	238	581	520	31	30	55	16	68	0	29	0	181	36	60	68	286	171	256	108	45	0	0	101	115	298	67	137	0	0	0	0	140	34	41	0	1050	479	0	0	0	31	33
ASV_88	307	0	254	0	0	0	823	0	0	0	0	0	0	88	73	0	0	0	100	0	0	441	0	0	24	0	0	689	0	224	0	143	0	0	1376	291	459	78	0	770	45	0	0	0	379	0	0	0	0	521
ASV_89	0	0	980	0	0	0	0	0	0	0	0	320	217	1153	0	0	0	0	0	0	1041	652	0	0	712	0	0	0	0	0	0	0	1097	0	0	0	0	0	0	0	46	776	0	0	0	0	0	0	61	0
ASV_90	0	0	0	99	0	0	0	0	0	6687	0	50	110	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0
ASV_91	0	0	0	69	0	0	113	50	0	0	0	540	203	0	0	53	0	0	0	2236	0	0	0	81	63	0	0	265	194	0	103	973	480	0	0	709	0	75	0	0	0	422	53	0	49	120	0	0	142	0
ASV_92	0	0	0	105	0	571	0	0	0	0	281	620	228	80	0	90	212	0	0	0	0	0	27	71	218	1812	0	90	0	0	0	0	0	1144	1115	0	0	67	0	0	41	0	82	0	0	0	52	0	44	0
