ASV_ID	SRR11733560	SRR11733574	SRR11733576	SRR11733578	SRR11733580	SRR11733584	SRR11733587	SRR11733590	SRR11733593	SRR11733594	SRR11733597	SRR11733600	SRR11733603	SRR11733607	SRR11733610	SRR11733613	SRR11733618	SRR11733621	SRR11733624	SRR11733628	SRR11733631	SRR11733634	SRR11733638	SRR11733641	SRR11733644	SRR11733647	SRR11733648	SRR11733651	SRR11733681	SRR11733684	SRR11733687	SRR11733690	SRR11733691	SRR11733694	SRR11733697	SRR11733700	SRR11733704	SRR11733707	SRR11733710	SRR11733715	SRR11733718	SRR11733721	SRR11733725	SRR11733728	SRR11733731	SRR11733748	SRR11733749	SRR11733778	SRR11733781	SRR11733784	SRR11733787	SRR11733788	SRR11733791	SRR11733794	SRR11733797	SRR11733801	SRR11733804	SRR11733807	SRR11733809	SRR11733812	SRR11733815	SRR11733818	SRR11733819	SRR11733821	SRR11733854	SRR11733890	SRR11733920	SRR11733927
ASV_22	138	347	597	141	93	128	1019	164	46	0	273	0	5	25	79	82	76	31	33	0	380	174	646	0	275	139	17	0	0	289	27	161	0	151	430	72	270	123	53	272	0	126	238	0	71	233	0	100	70	22	0	289	83	159	50	157	0	100	437	12	64	0	0	137	123	0	0	6
ASV_23	266	174	44	131	160	63	54	143	336	0	104	113	170	80	350	267	195	96	167	119	82	71	353	167	271	0	407	299	68	138	350	15	0	0	212	54	19	284	33	174	50	193	79	0	74	214	0	214	310	0	0	12	0	88	110	81	210	444	89	0	53	342	0	445	114	0	0	0
ASV_24	0	11	27	811	94	20	97	0	140	0	84	342	0	0	119	129	0	0	0	85	245	38	1296	0	407	0	0	0	0	0	0	42	0	28	144	1633	129	0	222	0	91	0	501	84	28	449	0	51	120	0	0	0	0	0	44	50	0	110	0	0	172	259	0	437	122	0	0	0
ASV_25	54	0	0	330	445	0	57	0	143	0	344	0	27	0	688	37	0	48	0	165	0	154	879	0	0	0	0	0	1125	309	0	311	0	58	48	0	110	0	0	52	0	0	0	136	0	212	0	34	1033	0	0	38	0	0	53	0	0	0	0	0	184	0	0	827	0	0	0	0
ASV_26	146	263	22	239	59	122	598	40	78	209	98	54	0	89	117	119	47	53	0	7	51	115	241	46	280	45	0	41	0	96	0	47	37	33	474	74	0	0	21	324	61	248	113	99	150	16	0	0	22	0	62	60	79	972	49	25	0	232	157	0	75	120	0	71	108	0	0	40
ASV_27	98	0	0	0	67	0	0	172	261	541	25	64	0	0	0	0	0	0	85	0	225	0	294	0	0	0	99	665	0	191	0	184	633	243	346	173	0	0	0	195	0	202	0	0	0	0	0	0	83	0	0	0	0	518	215	149	0	507	0	211	0	0	0	40	0	0	430	0
ASV_28	0	222	652	87	138	83	0	98	247	0	263	359	0	0	0	103	49	0	209	0	369	0	393	0	26	0	0	0	0	384	0	200	0	0	218	555	43	0	0	88	0	0	515	0	0	213	0	107	70	0	0	0	0	0	289	161	0	0	0	0	103	0	0	156	315	0	0	0
ASV_29	0	22	0	391	0	0	0	0	0	0	0	905	0	0	0	0	0	0	0	1193	0	119	0	790	0	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	54	0	0	0	0	0	0	0	2442	0	0	0	24	0	274
ASV_30	0	0	0	0	0	0	0	0	7	0	0	0	483	0	1410	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	0	905	0	0	796	0	0	0	0	0	1507	0	0	2	0	0	0	0	0	0	0	0	0	0	1041	0	0	0	0	0	0	0	0
ASV_31	75	0	0	0	0	0	0	68	0	0	0	0	56	0	0	0	47	54	55	0	0	0	0	0	0	0	98	0	0	0	0	0	916	0	0	0	0	17	0	0	0	38	0	319	0	0	44	0	0	644	217	52	503	89	0	0	50	0	125	262	0	272	0	0	25	804	638	597
ASV_32	111	72	116	165	137	138	31	0	302	0	140	30	19	0	253	34	20	0	237	202	25	127	335	36	22	81	0	0	0	277	58	39	0	30	97	69	239	0	0	92	0	0	190	0	0	34	0	474	71	0	0	22	0	0	107	592	153	107	0	0	202	0	0	0	365	0	0	31
ASV_33	135	101	47	118	70	42	137	115	0	297	180	26	85	86	121	91	0	119	48	141	64	72	246	58	23	83	129	69	67	148	97	48	0	111	128	102	44	150	0	100	0	93	55	148	162	49	0	59	105	0	68	0	103	88	97	85	163	208	19	58	28	0	0	48	176	226	0	102
ASV_34	0	85	0	89	0	0	0	127	158	146	0	120	0	0	0	105	0	233	0	0	0	101	96	0	0	0	697	322	0	0	162	0	0	384	0	0	0	403	0	0	93	144	89	241	58	0	0	71	0	488	0	0	333	0	0	0	0	171	147	61	49	0	0	434	147	0	0	0
ASV_35	95	99	339	358	31	53	286	19	0	0	21	0	0	0	238	24	0	18	13	0	151	269	298	0	357	25	244	7	13	146	0	45	0	0	856	0	0	9	0	0	0	207	80	0	0	50	0	17	0	0	0	140	64	386	0	44	24	156	214	0	47	7	0	79	51	20	0	0
ASV_36	0	0	16	0	174	523	0	0	365	0	0	0	0	0	87	0	0	0	0	0	0	375	0	0	0	0	418	0	559	0	61	0	0	0	0	0	0	0	340	0	0	173	0	0	0	405	566	0	0	0	0	0	54	0	0	0	233	0	0	168	0	0	0	244	365	0	0	472
ASV_37	40	282	0	71	138	110	107	112	83	0	88	95	0	119	163	39	0	0	94	87	30	55	89	78	0	0	268	115	0	154	186	63	0	0	41	92	42	295	0	84	0	59	228	0	468	0	37	29	192	0	126	0	0	248	204	172	76	47	0	186	0	0	0	0	181	0	0	0
ASV_38	238	32	61	0	81	302	12	324	0	62	63	268	479	0	110	160	330	290	0	86	56	0	0	0	89	0	39	65	0	0	0	0	0	0	59	0	25	65	141	126	0	33	6	190	0	0	0	0	0	0	337	191	67	0	0	146	179	0	0	0	67	161	0	103	0	81	224	0
ASV_39	39	89	84	160	0	104	754	18	71	469	49	0	0	0	0	37	0	0	0	0	51	42	243	0	362	51	39	0	8	67	0	37	0	0	0	58	16	0	0	277	0	34	105	0	176	25	0	0	0	0	0	388	0	286	0	32	0	0	283	24	90	0	0	478	80	0	0	0
ASV_40	247	629	798	0	0	35	0	0	0	0	225	0	155	0	0	145	257	84	0	0	35	230	22	0	0	0	0	33	112	62	44	0	38	0	204	113	0	0	0	71	153	170	0	0	0	0	0	0	0	0	179	0	0	0	103	259	64	0	0	0	210	147	69	0	0	109	0	0
ASV_41	0	0	1605	0	183	0	0	0	141	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	591	0	0	0	0	0	0	538	0	723	0	0	0	194	0	0	303	0	0	200	0	0	0	0	0	0	0	0	0	0	0	45	0	0	213	0	0	0	0
ASV_42	0	28	131	107	0	61	137	0	97	0	251	0	0	54	0	64	0	0	0	0	180	86	102	0	0	0	0	0	36	100	0	0	0	160	0	515	67	194	0	80	0	0	225	0	166	0	0	113	0	0	0	0	0	0	248	0	103	158	165	0	167	0	0	325	128	0	0	0
ASV_43	281	0	0	140	49	163	0	0	44	20	0	0	0	0	0	0	0	0	0	0	26	0	653	0	0	40	0	127	0	58	0	110	0	0	0	0	0	0	0	0	151	0	0	0	0	0	0	253	0	0	0	879	0	120	76	0	0	0	0	940	0	0	0	0	0	0	0	0
ASV_44	561	0	0	548	0	180	0	0	0	0	0	109	0	0	225	256	300	0	0	0	0	0	0	232	0	0	131	0	0	159	0	0	0	0	0	246	0	0	0	0	0	49	245	0	0	80	0	0	200	0	0	0	0	0	0	0	0	178	0	0	0	0	0	405	0	0	0	0
ASV_45	163	0	0	41	46	37	89	45	149	0	66	0	96	0	66	61	93	67	0	53	32	0	89	44	0	57	166	87	0	96	103	0	0	86	0	60	0	211	147	78	0	37	135	0	296	107	192	0	0	0	0	0	0	110	0	0	0	78	183	128	0	0	0	175	52	0	0	0
ASV_46	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	2595	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	92	0	0	0	0	0	0	0	0	0	539	0	80	119	0	191	0	0	0
ASV_47	157	46	0	0	61	82	0	0	47	0	31	0	169	93	12	49	385	0	73	0	107	0	99	0	45	0	0	0	0	64	115	0	0	53	0	57	0	106	81	0	0	0	22	90	0	76	0	0	0	0	516	0	0	19	0	0	199	117	292	119	0	0	0	210	148	0	0	0
