ASV_ID	SRR16821602	SRR16821603	SRR16821604	SRR16821605	SRR16821606	SRR16821607	SRR16821608	SRR16821609	SRR16821610	SRR16821611	SRR16821612	SRR16821613	SRR16821614	SRR16821615	SRR16821616	SRR16821617	SRR16821618	SRR16821619	SRR16821620	SRR16821621	SRR16821622	SRR16821623	SRR16821624	SRR16821625	SRR16821626	SRR16821627	SRR16821628	SRR16821629	SRR16821630	SRR16821631	SRR16821632	SRR16821633	SRR16821634	SRR16821635	SRR16821636	SRR16821637	SRR16821638	SRR16821639	SRR16821640	SRR16821641	SRR16821642	SRR16821643	SRR16821644	SRR16821645	SRR16821646	SRR16821647	SRR16821648	SRR16821649	SRR16821650	SRR16821651	SRR16821652	SRR16821653	SRR16821654	SRR16821655	SRR16821656	SRR16821657	SRR16821658	SRR16821659	SRR16821660	SRR16821661	SRR16821662	SRR16821663	SRR16821664	SRR16821665	SRR16821666	SRR16821667	SRR16821668	SRR16821669	SRR16821670	SRR16821671	SRR16821672	SRR16821673	SRR16821674	SRR16821675	SRR16821676	SRR16821677	SRR16821678	SRR16821679	SRR16821680	SRR16821681	SRR16821682	SRR16821683	SRR16821684	SRR16821685	SRR16821686	SRR16821687	SRR16821688	SRR16821689	SRR16821690	SRR16821691	SRR16821692	SRR16821693	SRR16821694	SRR16821695	SRR16821696	SRR16821697	SRR16821698	SRR16821699	SRR16821700	SRR16821701	SRR16821702	SRR16821703	SRR16821704	SRR16821705	SRR16821706	SRR16821707	SRR16821708	SRR16821709	SRR16821710	SRR16821711	SRR16821712	SRR16821713	SRR16821714	SRR16821715	SRR16821716	SRR16821717	SRR16821718	SRR16821719	SRR16821720	SRR16821721	SRR16821722	SRR16821723	SRR16821724	SRR16821725	SRR16821726	SRR16821727	SRR16821728	SRR16821729	SRR16821730	SRR16821731	SRR16821732	SRR16821733	SRR16821734	SRR16821735	SRR16821736	SRR16821737
ASV_29	33	79	111	104	64	108	0	13	6	18	9	16	133	236	175	121	67	0	0	11	0	57	0	33	32	53	0	0	0	22	15	24	37	23	0	20	14	21	18	33	130	0	142	87	189	123	0	0	0	0	0	0	0	13	25	5	6	0	0	0	0	0	0	0	28	21	27	15	15	23	14	0	0	0	0	0	0	0	0	87	65	72	105	106	29	22	12	60	31	53	34	27	54	31	26	30	44	60	74	52	60	81	85	52	156	81	17	15	18	56	14	36	0	0	0	0	0	0	0	0	82	0	0	0	0	15	0	0	0	0	0	76	0	0	55	36
ASV_30	17	84	107	106	63	109	0	15	10	20	16	10	129	207	195	110	94	0	0	18	0	65	0	49	49	64	0	0	0	29	19	42	28	14	0	19	11	21	12	22	133	0	126	74	208	157	0	0	0	0	0	0	0	30	16	8	11	0	0	0	0	0	0	0	31	17	25	15	14	19	7	0	0	0	0	0	0	0	0	68	52	81	95	128	29	35	25	46	37	37	30	26	44	25	32	35	42	58	79	58	58	71	55	53	163	81	17	29	0	53	21	41	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	86	0	0	52	31
ASV_31	0	312	312	319	161	175	0	23	28	23	23	19	28	31	25	29	0	20	0	25	0	6	44	18	8	9	58	91	23	5	0	21	13	0	74	91	18	22	5	37	33	61	49	19	64	21	0	0	33	0	0	0	18	0	10	27	13	0	50	0	14	0	22	148	10	32	23	47	33	25	7	0	0	0	67	0	0	0	0	23	53	35	34	32	0	0	0	47	0	0	20	8	14	13	21	109	151	82	81	64	82	20	16	61	160	94	11	38	0	38	22	34	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	42	87	0	74	0	22	7	0
ASV_32	26	2	8	17	12	18	263	13	17	31	12	0	56	105	89	39	0	306	11	0	0	35	59	14	15	15	33	33	205	45	38	53	49	54	0	59	50	35	34	47	0	0	0	0	0	38	0	0	0	0	0	104	0	75	106	68	67	0	0	0	0	0	52	0	189	38	0	0	0	0	0	0	0	0	0	248	183	0	0	0	0	0	0	0	32	29	36	20	43	13	54	110	91	57	64	45	63	76	63	36	63	0	0	0	0	0	44	61	114	38	74	26	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	30	0	0	35	71
ASV_33	30	117	71	163	229	57	0	24	35	22	24	23	252	34	118	67	33	0	24	20	12	68	0	22	22	20	118	143	0	0	0	0	0	0	0	21	15	11	5	22	37	0	21	59	25	78	157	125	79	95	82	16	0	14	22	20	43	61	11	39	20	16	0	0	0	0	20	17	0	17	0	0	0	0	0	0	0	0	0	22	0	13	17	17	58	0	19	28	137	61	36	61	38	50	70	9	0	49	67	18	21	0	0	25	17	18	25	0	37	35	41	0	18	19	18	27	23	36	43	25	112	19	33	0	0	0	0	0	0	0	0	92	0	0	93	14
ASV_34	33	63	87	74	50	31	0	44	17	50	14	32	0	0	0	0	0	0	51	31	27	33	73	51	14	15	14	21	0	22	17	31	38	25	282	0	5	10	5	0	0	225	0	0	0	0	25	14	8	17	14	0	294	0	0	0	0	0	22	0	12	12	0	509	0	0	18	14	0	12	7	17	15	20	469	0	0	13	31	0	0	3	0	0	17	26	21	61	202	60	0	0	0	0	0	62	33	29	63	10	57	124	25	59	30	39	0	0	0	25	0	0	24	16	24	15	28	0	0	0	28	0	0	0	0	0	0	0	35	45	53	50	63	35	29	30
ASV_35	44	25	40	130	191	114	47	0	0	0	68	23	164	28	23	35	27	49	0	0	0	34	68	28	19	23	0	0	90	0	0	113	63	0	34	35	17	30	17	21	36	88	44	17	26	27	64	31	32	26	70	52	232	21	25	56	34	146	16	59	47	0	19	144	21	21	22	15	0	27	0	0	0	0	224	35	58	0	0	71	19	27	34	0	47	17	27	25	51	0	26	55	0	0	0	26	31	77	32	98	50	0	26	0	22	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	28	32	14	42	19	54	30	43
ASV_36	81	0	0	0	0	0	54	15	38	0	107	0	0	0	0	0	0	116	38	0	24	0	0	30	0	0	52	0	90	0	0	0	0	113	0	0	0	0	0	0	27	0	56	35	84	38	160	35	114	128	131	112	0	104	78	0	92	0	0	0	0	0	400	0	324	310	24	40	58	171	0	191	235	83	0	271	58	127	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	69
ASV_37	0	91	70	41	46	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	90	55	108	83	77	0	0	0	0	0	0	0	0	0	18	34	32	28	39	0	0	0	0	0	0	0	0	0	0	0	147	0	99	144	200	206	0	105	74	154	173	47	0	0	0	209	173	110	168	64	0	0	0	0	0	0	0	0	33	44	52	37	20	0	0	0	0	0	0	54	87	58	69	112	0	0	0	0	0	0	0	0	0	0	0	73	26	35	0	86	36	0	0	0	0	21	37	99	37	0	68	63	17	44	36	70	40	0	0	0	0	0	0	15	0
ASV_38	0	79	77	39	31	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	80	89	88	95	103	0	0	0	0	0	0	0	0	0	26	26	30	11	43	0	0	0	0	0	0	0	0	0	0	0	172	0	134	140	228	207	0	73	58	136	164	0	0	0	0	144	184	105	154	66	0	0	0	0	0	0	0	0	34	52	49	47	29	0	0	0	0	0	0	37	99	61	64	113	0	0	22	0	0	0	0	0	0	0	0	73	42	34	0	81	30	0	0	0	0	0	63	98	40	0	73	85	19	32	37	60	56	0	0	0	0	0	0	0	0
