#mpa_vJun23_CHOCOPhlAnSGB_202403
clade_name	SRR15595244	SRR15595245	SRR22402254	SRR22402255
k__Bacteria|p__Candidatus_Melainabacteria|c__CFGB2107|o__OFGB2107|f__FGB2107	0.02267	0.0	0.0	0.02878
k__Bacteria|p__Firmicutes|c__CFGB1011|o__OFGB1011|f__FGB1011	0.02163	0.08966	0.01444	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Peptostreptococcaceae	0.01883	0.1365	0.03218	0.00458
k__Bacteria|p__Firmicutes|c__CFGB1292|o__OFGB1292|f__FGB1292	0.01569	0.06168	0.08136	0.0
k__Bacteria|p__Firmicutes|c__CFGB82363|o__OFGB82363|f__FGB82363	0.01416	0.0	0.02245	0.0
k__Bacteria|p__Firmicutes|c__CFGB1374|o__OFGB1374|f__FGB1374	0.01397	0.0	0.01024	0.0001
k__Bacteria|p__Firmicutes|c__CFGB4806|o__OFGB4806|f__FGB4806	0.01323	0.02024	3.2086	0.0
k__Bacteria|p__Firmicutes|c__CFGB3072|o__OFGB3072|f__FGB3072	0.01302	0.0	0.28907	0.04103
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	0.01239	0.04721	0.68344	0.24845
k__Bacteria|p__Bacteria_unclassified|c__Bacteria_unclassified|o__Bacteria_unclassified|f__Bacteria_unclassified	0.01221	0.0	0.0	0.03855
k__Bacteria|p__Firmicutes|c__CFGB3023|o__OFGB3023|f__FGB3023	0.01092	0.0	0.04405	0.04511
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Bianqueaceae	0.00807	0.04308	0.00073	4e-05
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	0.00428	0.49587	0.00266	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridia_unclassified|f__Clostridia_unclassified	0.00395	0.00768	0.0	0.0
k__Bacteria|p__Firmicutes|c__CFGB3054|o__OFGB3054|f__FGB3054	0.00354	0.0	0.68075	1.41626
k__Bacteria|p__Firmicutes|c__CFGB2959|o__OFGB2959|f__FGB2959	0.00352	0.0	0.01408	0.0
k__Bacteria|p__Firmicutes|c__CFGB1126|o__OFGB1126|f__FGB1126	0.00292	0.0161	0.00606	0.00223
k__Bacteria|p__Firmicutes|c__CFGB45628|o__OFGB45628|f__FGB45628	0.00183	0.0	0.00331	0.0
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae	0.00173	0.24313	0.0	0.0032
k__Bacteria|p__Firmicutes|c__CFGB1380|o__OFGB1380|f__FGB1380	0.00152	0.0	0.03986	0.20292
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium	12.5468	0.25153	3.79871	4.78287
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Eubacteriales_incertae_sedis|g__Candidatus_Cibionibacter	11.71116	0.37265	1.76347	0.75391
k__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes	10.24315	6.37211	9.10753	29.62956
k__Bacteria|p__Actinobacteria|c__Actinomycetia|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	9.70056	15.22749	3.5677	1.65631
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified	6.66857	0.02054	0.94235	1.42882
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Lachnospiraceae|g__Blautia	6.01666	6.21569	0.62844	2.16806
k__Bacteria|p__Firmicutes|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__GGB9635	4.54156	0.00314	4.19857	0.0
